"time (UTC)","battery (V)","dewPoint (°C)","humidity (%)","irradiation (W/m2)","irradiation_max (W/m2)","pressure_raw (hPa)","rain (mm)","temperature (°C)","temperature_max (°C)","temperature_min (°C)","rainfall_rate_max (mm/h)","pressure (hPa)","temperature_wetbulb_stull2011_C (°C)"
"2021-06-24 09:20:00",4.1500,20.81,59.6000,1438,1438,978.80,,29.50,29.50,29.50,,979.64,23.4800
"2021-08-12 07:50:00",3.8500,,,10,60,,,,,,,,
"2021-08-12 08:00:00",3.8500,,,60,60,,,,,,,,
"2021-08-12 08:10:00",3.8500,,,58,58,,,,,,,,
"2021-08-12 08:20:00",3.8500,,,58,58,,,,,,,,
"2021-08-12 14:00:00",3.9500,,,10,60,,,,,,,,
"2021-08-12 14:10:00",3.9500,,,60,60,,,,,,,,
"2021-08-24 09:20:00",3.9000,15.20,54.2000,20,60,976.70,,25.10,25.10,25.10,,977.55,18.7300
"2021-08-24 09:30:00",3.9000,15.11,54.2000,58,58,976.35,,25.00,25.00,25.00,,977.20,18.6400
"2021-08-24 09:40:00",3.9000,15.39,54.2000,58,58,976.70,,25.30,25.40,25.20,,977.55,18.9000
"2022-03-07 14:00:00",3.6000,,,0,0,,,,,,,,
"2022-03-07 14:10:00",3.6000,,,0,0,,,,,,,,
"2022-03-07 14:20:00",3.6000,,,0,0,,,,,,,,
"2022-03-07 14:30:00",3.6000,,,0,0,,,,,,,,
"2022-03-07 14:40:00",3.6000,,,0,0,,,,,,,,
"2022-03-07 14:50:00",3.6000,,,0,0,,,,,,,,
"2022-03-07 15:00:00",3.6000,3.90,28.4000,0,0,981.15,,23.20,23.20,23.20,,982.01,12.9400
"2022-03-21 09:40:00",4.1000,,,54,54,,,,,,,,
"2022-03-21 09:50:00",4.1000,4.86,24.8000,54,54,1004.85,,26.60,27.20,25.60,,1005.72,14.7000
"2022-03-21 10:00:00",4.1000,4.44,23.8000,52,54,1005.25,,26.80,27.40,26.40,,1006.12,14.6200
