"time (UTC)","battery (V)","dewPoint (°C)","humidity (%)","irradiation (W/m2)","irradiation_max (W/m2)","pressure_raw (hPa)","rain (mm)","temperature (°C)","temperature_max (°C)","temperature_min (°C)","rainfall_rate_max (mm/h)","pressure (hPa)","temperature_wetbulb_stull2011_C (°C)"
"2024-01-30 08:30:00",4.1500,7.60,85.6000,186,224,1024.05,,9.90,10.10,9.70,,1034.12,8.3800
"2024-01-30 08:40:00",4.1500,8.18,84.4000,236,256,1024.10,0,10.70,11.00,10.20,,1034.13,9.0400
"2024-01-30 08:50:00",4.1500,8.16,81.0000,270,282,1024.15,0,11.30,11.60,11.10,,1034.16,9.2800
"2024-01-30 09:00:00",4.1500,8.17,78.4000,256,284,1024.20,0,11.80,11.80,11.70,,1034.19,9.4900
"2024-01-30 09:10:00",4.1500,8.23,78.2000,224,246,1024.25,0,11.90,12.00,11.70,,1034.24,9.5700
"2024-01-30 09:20:00",4.1500,8.75,78.4000,234,242,1024.30,0,12.40,12.70,12.10,,1034.27,10.0700
"2024-01-30 09:30:00",4.1500,9.06,78.0000,254,260,1024.35,0,12.80,12.90,12.70,,1034.30,10.4100
"2024-01-30 09:40:00",4.1500,9.05,77.4000,274,286,1024.40,0,12.90,12.90,12.80,,1034.35,10.4400
"2024-01-30 09:50:00",4.1500,8.99,77.6000,298,306,1024.45,0,12.80,12.90,12.70,,1034.41,10.3600
"2024-01-30 10:00:00",4.1500,9.04,78.4000,316,328,1024.50,0,12.70,12.70,12.70,,1034.46,10.3500
"2024-01-30 10:10:00",4.1500,9.29,79.2000,346,362,1024.55,0,12.80,13.00,12.70,,1034.51,10.5300
"2024-01-30 10:20:00",4.1500,9.62,79.4000,374,386,1024.55,0,13.10,13.30,13.00,,1034.50,10.8400
